GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AE7001
"G010","1935",,"010",,,"Alabama",19
"G040","1935",,"040",,,"Arizona",9
"G050","1935",,"050",,,"Arkansas",21
"G060","1935",,"060",,,"California",76
"G080","1935",,"080",,,"Colorado",14
"G090","1935",,"090",,,"Connecticut",136
"G100","1935",,"100",,,"Delaware",56
"G120","1935",,"120",,,"Florida",53
"G130","1935",,"130",,,"Georgia",17
"G160","1935",,"160",,,"Idaho",31
"G170","1935",,"170",,,"Illinois",70
"G180","1935",,"180",,,"Indiana",51
"G190","1935",,"190",,,"Iowa",72
"G200","1935",,"200",,,"Kansas",31
"G210","1935",,"210",,,"Kentucky",30
"G220","1935",,"220",,,"Louisianna",28
"G230","1935",,"230",,,"Maine",30
"G240","1935",,"240",,,"Maryland",55
"G250","1935",,"250",,,"Massachusetts",116
"G260","1935",,"260",,,"Michigan",45
"G270","1935",,"270",,,"Minnesota",42
"G280","1935",,"280",,,"Mississippi",19
"G290","1935",,"290",,,"Missouri",31
"G300","1935",,"300",,,"Montana",8
"G310","1935",,"310",,,"Nebraska",34
"G320","1935",,"320",,,"Nevada",12
"G330","1935",,"330",,,"New Hampshire",32
"G340","1935",,"340",,,"New Jersey",122
"G350","1935",,"350",,,"New Mexico",5
"G360","1935",,"360",,,"New York",56
"G370","1935",,"370",,,"North Carolina",31
"G380","1935",,"380",,,"North Dakota",18
"G390","1935",,"390",,,"Ohio",56
"G400","1935",,"400",,,"Oklahoma",22
"G410","1935",,"410",,,"Oregon",26
"G420","1935",,"420",,,"Pennsylvania",54
"G440","1935",,"440",,,"Rhode Island",115
"G450","1935",,"450",,,"South Carolina",23
"G460","1935",,"460",,,"South Dakota",19
"G470","1935",,"470",,,"Tennessee",29
"G480","1935",,"480",,,"Texas",19
"G490","1935",,"490",,,"Utah",25
"G500","1935",,"500",,,"Vermont",29
"G510","1935",,"510",,,"Virginia",34
"G530","1935",,"530",,,"Washington",38
"G540","1935",,"540",,,"West Virginia",25
"G550","1935",,"550",,,"Wisconsin",53
"G560","1935",,"560",,,"Wyoming",6
